                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8561,                 8.6828,                 4.5676,                 3.3775,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9738,                 8.8552,                  4.859,                 3.4399,                 0.0991,                 0.0001,                 0.0001
                      1,                 3.7176,                 8.9384,                 4.2687,                 3.2449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9818,                 9.3713,                 4.8447,                 3.4466,               0.097299,             0.00029851,             0.00029851
                      2,                 3.6294,                 8.4162,                 4.4021,                  3.259,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.9937,                 9.7879,                 4.8244,                 3.4441,               0.095495,             0.00049505,             0.00049505
                      3,                 3.8095,                 8.1925,                 4.4697,                 3.2778,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0223,                 10.173,                  4.811,                 3.4715,                0.09369,              0.0006896,              0.0006896
                      4,                 3.7929,                 8.7651,                 4.4959,                 3.2306,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.212,                 10.831,                 4.6279,                   3.54,               0.091882,             0.00088218,             0.00088218
                      5,                 3.7104,                 7.0781,                 4.4638,                 3.0195,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3365,                 8.9869,                 4.7101,                 3.6179,               0.090073,              0.0010728,              0.0010728
                      6,                 4.1192,                 6.6244,                 4.6506,                  3.378,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.3679,                 8.3256,                 4.6866,                 3.6052,               0.088261,              0.0012614,              0.0012614
                      7,                 3.3942,                 6.1894,                 4.3339,                 2.7206,                0.00056,                0.07692,                0.00036,                  4e-05,                      0,                      0,                      0,                      0,                 4.2932,                 7.4009,                 4.6497,                 3.4931,               0.086448,               0.001448,               0.001448
                      8,                  3.236,                 5.3049,                  4.619,                 2.8603,                0.00056,                0.07692,                0.00032,                  3e-05,                0.00056,                0.07692,                0.00033,                  3e-05,                 4.0521,                 6.9918,                 4.6181,                 3.3114,               0.084633,              0.0016327,              0.0016327
                      9,                 3.2701,                 5.6226,                 4.4136,                 2.7553,                0.00056,                0.07692,                0.00032,                  3e-05,                0.00056,                0.07692,                0.00033,                  3e-05,                 3.7982,                 6.7332,                 4.7426,                 3.2234,               0.082815,              0.0018154,              0.0018154
                     10,                 3.0263,                  5.433,                 4.4604,                 2.6125,                0.00056,                0.07692,                0.00032,                  3e-05,                0.00056,                0.07692,                0.00033,                  3e-05,                 2.9469,                 5.0833,                 4.7737,                 2.8516,               0.080996,               0.001996,               0.001996
                     11,                 3.0248,                 5.1031,                 4.4627,                 2.4903,                0.00056,                0.07692,                0.00032,                  3e-05,                0.00056,                0.07692,                0.00033,                  3e-05,                 3.3088,                 5.1672,                 4.5654,                 3.0055,               0.079175,              0.0021748,              0.0021748
                     12,                  2.912,                 4.8334,                 4.2908,                 2.4891,                0.00056,                0.07692,                0.00032,                  3e-05,                0.00056,                0.07692,                0.00033,                  3e-05,                 2.9924,                 5.0495,                  4.571,                 2.7843,               0.077352,              0.0023515,              0.0023515
                     13,                 2.8971,                 5.0828,                 4.3486,                 2.4341,                0.00056,                0.07692,                0.00037,                  7e-05,                      0,                      0,                      0,                      0,                 3.1052,                 5.2059,                 4.6262,                 3.1116,               0.075526,              0.0025263,              0.0025263
                     14,                 2.9168,                 4.7906,                 4.3301,                 2.3874,                0.00056,                0.07692,                0.00037,                  7e-05,                      0,                      0,                      0,                      0,                 3.0804,                 5.1112,                 4.5999,                 2.8372,               0.073699,               0.002699,               0.002699
                     15,                 2.6813,                 5.0744,                 4.1748,                 2.3485,                0.00056,                0.07692,                0.00037,                  7e-05,                      0,                      0,                      0,                      0,                 2.8655,                 5.7969,                 4.5738,                 2.7952,                0.07187,              0.0028698,              0.0028698
                     16,                 2.8284,                 5.0208,                  4.218,                 2.3371,                0.00056,                0.07692,                0.00037,                  7e-05,                      0,                      0,                      0,                      0,                 2.9358,                 5.7232,                 4.7245,                 2.7549,               0.070039,              0.0030386,              0.0030386
                     17,                 2.5763,                 4.5263,                 4.0622,                  2.158,                0.00056,                0.07692,                0.00031,                0.00019,                      0,                      0,                      0,                      0,                  2.921,                  5.185,                 4.5817,                 2.7736,               0.068205,              0.0032055,              0.0032055
                     18,                 2.7755,                 4.8239,                  4.011,                 2.3079,                0.00056,                0.07692,                0.00031,                0.00019,                      0,                      0,                      0,                      0,                 2.9308,                 5.3513,                 4.4885,                 2.7818,                0.06637,              0.0033703,              0.0033703
                     19,                 2.4713,                 5.2375,                 3.8027,                 2.1322,                0.00056,                0.07692,                0.00031,                0.00019,                      0,                      0,                      0,                      0,                 2.8335,                 6.0651,                 4.4496,                 2.6618,               0.064533,              0.0035332,              0.0035332
                     20,                 2.2857,                 4.9845,                 3.7982,                  2.004,                0.00056,                0.07692,                0.00031,                  3e-05,                      0,                      0,                      0,                      0,                 3.2603,                 5.3505,                 4.3726,                 3.5326,               0.062694,              0.0036941,              0.0036941
                     21,                 2.5451,                 4.5645,                 3.6828,                 2.1702,                0.00056,                0.07692,                0.00031,                  3e-05,                      0,                      0,                      0,                      0,                 3.2848,                 5.6414,                 4.3743,                 3.7803,               0.060853,               0.003853,               0.003853
                     22,                  2.307,                 4.8966,                 3.3118,                 1.9588,                0.00056,                0.07692,                0.00031,                  3e-05,                      0,                      0,                      0,                      0,                 3.3981,                 5.3714,                 4.1968,                 4.3967,                0.05901,              0.0040099,              0.0040099
                     23,                 2.4088,                 4.8739,                 3.2378,                 2.1325,                0.00056,                0.07692,                0.00043,                  4e-05,                0.00056,                0.07692,                0.00036,                0.00011,                 3.0948,                 5.1658,                 4.2433,                 3.4209,               0.057165,              0.0041649,              0.0041649
                     24,                 2.5889,                 4.5655,                 3.0716,                 2.2986,                0.00056,                0.07692,                 0.0004,                  8e-05,                      0,                      0,                      0,                      0,                 3.8863,                 5.1856,                  4.274,                 5.9086,               0.055318,              0.0043179,              0.0043179
                     25,                 2.7015,                 4.8865,                 3.0015,                 2.1917,                0.00278,                0.38462,                0.00281,                0.00085,                0.00111,                0.15385,                0.00081,                0.00026,                 2.9165,                 5.0348,                 4.0867,                 2.9881,               0.053469,              0.0044689,              0.0044689
                     26,                  2.447,                 4.8631,                  3.678,                 2.3354,                0.00389,                0.53846,                0.00485,                  0.001,                0.00222,                0.30769,                0.00229,                0.00035,                  3.601,                 5.0892,                 4.3092,                 4.0847,               0.051618,              0.0046179,              0.0046179
                     27,                 2.3636,                 4.8534,                 3.0976,                 2.0929,                0.00389,                0.53846,                0.00485,                  0.001,                0.00222,                0.30769,                0.00229,                0.00035,                  3.601,                 5.0892,                 4.3092,                 4.0847,               0.049765,              0.0047649,              0.0047649
                     28,                 2.4085,                 4.6951,                 2.9568,                 2.0293,                0.00333,                0.46154,                0.00307,                0.00071,                0.00111,                0.15385,                0.00069,                 0.0001,                 3.6272,                 5.0142,                 4.6631,                 4.1392,                0.04791,                0.00491,                0.00491
                     29,                 2.3805,                 4.5281,                 2.9876,                 2.1581,                0.00333,                0.46154,                0.00335,                0.00104,                0.00167,                0.23077,                0.00113,                0.00022,                 3.7003,                   5.34,                 4.6303,                 3.9881,               0.046053,              0.0050531,              0.0050531
                     30,                 2.3619,                 4.5569,                 2.8715,                 2.1147,                0.00333,                0.46154,                0.00335,                0.00104,                0.00167,                0.23077,                0.00113,                0.00022,                 3.7003,                   5.34,                 4.6303,                 3.9881,               0.044194,              0.0051941,              0.0051941
                     31,                 2.4319,                 4.6775,                 2.8619,                 1.9805,                0.00556,                0.76923,                0.00738,                0.00226,                0.00278,                0.38462,                0.00241,                0.00064,                 2.9474,                 4.9278,                 3.9972,                 2.7289,               0.042333,              0.0053333,              0.0053333
                     32,                 2.5841,                 4.0094,                 3.4797,                  2.328,                0.00556,                0.76923,                0.01266,                0.00396,                0.00278,                0.38462,                 0.0035,                0.00067,                 3.2688,                 5.5606,                 4.1537,                 3.3166,                0.04047,              0.0054704,              0.0054704
                     33,                 2.1237,                 4.5728,                 3.1076,                 2.0734,                0.00556,                0.76923,                0.01266,                0.00396,                0.00278,                0.38462,                 0.0035,                0.00067,                 3.2688,                 5.5606,                 4.1537,                 3.3166,               0.038606,              0.0056056,              0.0056056
                     34,                 2.2775,                 4.5506,                 2.9167,                 2.1056,                0.00556,                0.76923,                0.01033,                0.00384,                0.00333,                0.46154,                0.00513,                0.00082,                 2.9737,                 5.2859,                 4.1074,                 3.0749,               0.036739,              0.0057387,              0.0057387
                     35,                 2.1877,                 4.3487,                 2.8756,                 1.9122,                0.00611,                0.84615,                0.04509,                 0.0127,                0.00333,                0.46154,                0.02845,                0.00347,                 2.8687,                  5.249,                 3.9686,                 2.9044,                0.03487,              0.0058699,              0.0058699
                     36,                 2.1947,                 4.0458,                 2.7469,                  1.853,                0.00611,                0.84615,                0.04509,                 0.0127,                0.00333,                0.46154,                0.02845,                0.00347,                 2.8687,                  5.249,                 3.9686,                 2.9044,               0.032999,              0.0059991,              0.0059991
                     37,                 2.2196,                 4.6072,                 3.1917,                 2.1692,                  0.005,                0.69231,                0.04245,                0.00856,                0.00278,                0.38462,                 0.0028,                0.00063,                 3.0825,                 5.5731,                 4.2717,                 2.6192,               0.031126,              0.0061264,              0.0061264
                     38,                 2.4298,                 4.5749,                 2.7953,                 1.9761,                0.00611,                0.84615,                0.15852,                0.04532,                0.00333,                0.46154,                0.00383,                0.00107,                 2.8606,                 5.4982,                 3.9629,                 2.5259,               0.029252,              0.0062516,              0.0062516
                     39,                 2.4172,                 4.8277,                 2.5225,                 2.0652,                0.00611,                0.84615,                0.15852,                0.04532,                0.00333,                0.46154,                0.00383,                0.00107,                 2.8606,                 5.4982,                 3.9629,                 2.5259,               0.027375,              0.0063749,              0.0063749
                     40,                 2.2395,                 4.3507,                 2.8763,                 1.9942,                0.00444,                0.61538,                0.01638,                0.00294,                0.00111,                0.15385,                0.00075,                0.00026,                  3.501,                 5.3344,                 4.1137,                 3.5016,               0.025496,              0.0064962,              0.0064962
                     41,                 2.3799,                 4.5756,                 2.9858,                 2.1552,                0.00278,                0.38462,                0.00248,                0.00049,                0.00056,                0.07692,                0.00034,                 0.0001,                 3.8848,                 5.3488,                 4.1781,                 5.1383,               0.023616,              0.0066155,              0.0066155
                     42,                 2.1937,                 4.5932,                 2.8241,                 1.9345,                0.00278,                0.38462,                0.00248,                0.00049,                0.00056,                0.07692,                0.00034,                 0.0001,                 3.8848,                 5.3488,                 4.1781,                 5.1383,               0.021733,              0.0067329,              0.0067329
                     43,                 2.2637,                 4.9958,                 2.8157,                 2.0651,                0.00389,                0.53846,                0.00577,                0.00149,                0.00167,                0.23077,                0.00142,                0.00018,                 3.5913,                 5.1445,                  4.154,                 3.8293,               0.019848,              0.0068482,              0.0068482
                     44,                 2.1509,                  4.553,                 2.8395,                  2.065,                0.00389,                0.53846,                0.00577,                0.00149,                0.00167,                0.23077,                0.00142,                0.00018,                 3.5913,                 5.1445,                  4.154,                 3.8293,               0.017962,              0.0069616,              0.0069616
                     45,                 2.1952,                 4.4044,                 2.5721,                 1.8073,                0.00611,                0.84615,                0.08309,                 0.0143,                0.00389,                0.53846,                0.02029,                0.00312,                 2.5276,                 4.9726,                 3.5205,                 2.2311,               0.016073,               0.007073,               0.007073
                     46,                 2.1445,                 4.7866,                 2.5484,                  1.887,                0.00611,                0.84615,                0.08309,                 0.0143,                0.00389,                0.53846,                0.02029,                0.00312,                 2.5276,                 4.9726,                 3.5205,                 2.2311,               0.014182,              0.0071824,              0.0071824
                     47,                 2.2306,                 4.6882,                 2.6532,                 1.9442,                  0.005,                0.69231,                0.02961,                0.00577,                0.00111,                0.15385,                0.00685,                0.00078,                  3.318,                 5.9033,                 3.5835,                 3.3222,                0.01229,              0.0072898,              0.0072898
                     48,                 2.0478,                 4.6793,                 2.6012,                 1.7879,                  0.005,                0.69231,                0.02961,                0.00577,                0.00111,                0.15385,                0.00685,                0.00078,                  3.318,                 5.9033,                 3.5835,                 3.3222,               0.010395,              0.0073953,              0.0073953
                     49,                 2.3198,                 4.3602,                  2.515,                 1.8763,                0.00611,                0.84615,                0.17497,                0.02621,                0.00278,                0.38462,                0.00632,                0.00123,                 2.7715,                 5.3606,                 3.5673,                 2.4373,              0.0084988,              0.0074988,              0.0074988
                     50,                  2.113,                 4.6444,                  2.622,                 1.8268,                0.00611,                0.84615,                0.17497,                0.02621,                0.00278,                0.38462,                0.00632,                0.00123,                 2.7715,                 5.3606,                 3.5673,                 2.4373,               0.007525,               0.007525,               0.007525
                     51,                  2.132,                 4.0612,                 2.3988,                 1.7733,                0.00556,                0.76923,                0.11138,                0.05011,                0.00111,                0.15385,                0.00077,                  8e-05,                 3.0841,                 5.7692,                 3.6021,                 2.9332,               0.007525,               0.007525,               0.007525
                     52,                 1.9887,                 4.7815,                 2.5774,                 1.8358,                0.00556,                0.76923,                0.11138,                0.05011,                0.00111,                0.15385,                0.00077,                  8e-05,                 3.0841,                 5.7692,                 3.6021,                 2.9332,              0.0074755,              0.0074755,              0.0074755
                     53,                 1.8648,                 4.2713,                 2.6719,                 1.7642,                0.00611,                0.84615,                0.06229,                0.01785,                0.00222,                0.30769,                0.00416,                0.00042,                 2.9717,                 6.0472,                 3.6731,                 2.3215,               0.007426,               0.007426,               0.007426
                     54,                 2.1422,                  4.425,                 2.7187,                 1.7714,                0.00611,                0.84615,                0.06229,                0.01785,                0.00222,                0.30769,                0.00416,                0.00042,                 2.9717,                 6.0472,                 3.6731,                 2.3215,              0.0073765,              0.0073765,              0.0073765
                     55,                 2.0345,                 4.4561,                 2.5136,                 1.7564,                0.00667,                0.92308,                0.05679,                0.01567,                0.00222,                0.30769,                0.00692,                0.00111,                 3.0677,                 6.4727,                 4.6034,                 2.4795,               0.007327,               0.007327,               0.007327
                     56,                 1.9357,                 4.0538,                 2.3965,                 1.6802,                0.00667,                0.92308,                0.05679,                0.01567,                0.00222,                0.30769,                0.00692,                0.00111,                 3.0677,                 6.4727,                 4.6034,                 2.4795,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.8681,                 4.1404,                 2.2459,                 1.8078,                0.07023,                0.38462,                 0.0452,                0.01056,                0.00222,                0.30769,                0.00291,                0.00037,                 2.9346,                 5.7212,                 4.2581,                 2.7841,               0.007228,               0.007228,               0.007228
                     58,                   2.02,                 4.6284,                 2.7622,                 1.7543,                0.07023,                0.38462,                 0.0452,                0.01056,                0.00222,                0.30769,                0.00291,                0.00037,                 2.9346,                 5.7212,                 4.2581,                 2.7841,              0.0071785,              0.0071785,              0.0071785
                     59,                 2.0168,                 4.3277,                 2.8612,                 1.8481,                0.00444,                0.61538,                0.03215,                0.00966,                0.00111,                0.15385,                0.00743,                0.00077,                 3.1555,                 5.7106,                   4.18,                 2.8341,               0.007129,               0.007129,               0.007129
                     60,                 1.9019,                 4.6064,                 2.4223,                 1.6854,                0.00444,                0.61538,                0.03215,                0.00966,                0.00111,                0.15385,                0.00743,                0.00077,                 3.1555,                 5.7106,                   4.18,                 2.8341,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.9899,                 4.5634,                  2.468,                 1.6978,                 0.0948,                0.07692,                 0.0459,                0.02335,                0.00167,                0.23077,                 0.0025,                0.00038,                 2.6195,                 5.7491,                 3.7983,                 2.4343,                0.00703,                0.00703,                0.00703
                     62,                 1.8939,                 4.3647,                  2.546,                 1.7037,                 0.0948,                0.07692,                 0.0459,                0.02335,                0.00167,                0.23077,                 0.0025,                0.00038,                 2.6195,                 5.7491,                 3.7983,                 2.4343,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.9694,                 4.1745,                 2.3614,                 1.5914,                0.30697,                0.07692,                0.11769,                0.04398,                0.00167,                0.23077,                0.00205,                0.00033,                 2.6036,                 5.8381,                 3.2488,                 2.6542,               0.006931,               0.006931,               0.006931
                     64,                 1.9791,                 4.1252,                 2.3725,                 1.7473,                0.30697,                0.07692,                0.11769,                0.04398,                0.00167,                0.23077,                0.00205,                0.00033,                 2.6036,                 5.8381,                 3.2488,                 2.6542,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.9454,                 4.6543,                 2.4313,                 1.8186,                0.12953,                0.08051,                0.13098,                0.03782,                0.00111,                0.15385,                0.00375,                0.00098,                 2.8319,                 6.1487,                 3.3031,                 3.1779,               0.006832,               0.006832,               0.006832
